@relation Ionosphere-15



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute attr7 real 
@attribute attr8 real 
@attribute attr9 real 
@attribute attr10 real 
@attribute attr11 real 
@attribute attr12 real 
@attribute attr13 real 
@attribute attr14 real 
@attribute RESULT {g, b} 



@data
0.164536, -0.034571, -0.109195, -0.030015, 0.094719, -0.029993, 0.326795, 0.181133, 0.146857, 0.150916, 0.785237, 0.124415, -0.127645, -0.214721, -0.381052, g
0.495821, 1.412666, -0.330586, 0.142593, -1.077452, 0.142651, 0.665775, -0.418993, 0.979356, 0.365547, -1.061886, 1.374056, 0.973138, 0.048119, -0.018711, b
0.277937, 0.026389, 0.011947, -0.320062, -0.366500, -0.320088, 0.260076, -0.046371, 0.026984, 0.243966, 0.137761, 0.597764, -0.250647, -0.055656, 0.536042, g
-0.089933, 0.313956, -1.209876, 0.927107, 0.075319, 0.927314, 3.485161, -3.119847, -1.886283, 0.388500, 0.175667, -0.735052, 0.892896, -0.240097, -0.047380, b
-0.072177, -0.193198, 0.580152, 0.253286, -0.008442, 0.253333, 0.041374, -0.421653, -0.132723, 0.696991, 0.442464, 0.436771, 0.024914, 0.181920, 0.741886, g
0.156707, -0.145939, -0.369037, 0.204104, 0.418632, 0.204084, 0.229157, -0.099945, 0.392226, -0.618817, -0.609627, 0.032254, 0.243401, 0.525894, -0.153455, b
0.213573, -0.210135, 0.586964, 0.014084, 0.575517, 0.014094, -0.236107, -0.124044, 0.001551, 0.407784, 0.070379, -0.159172, 0.082010, 0.209615, 0.004996, g
0.082184, -0.694177, 0.709023, -0.896631, 2.015919, -0.896620, 1.910912, -6.578512, -4.627025, -2.606006, -0.229330, 0.445912, 0.277222, -0.236222, -0.016555, b
0.404864, 0.125570, 0.449523, 0.139601, -0.093108, 0.139628, -0.118128, -0.591875, -0.048716, 0.145969, 0.227805, -0.084592, -0.655281, 0.091655, 0.109188, g
-1.445678, -0.176697, -0.375990, 0.380725, -0.419012, 0.380739, -0.362500, -0.673954, 0.877385, -0.291728, -0.792748, 2.036363, -0.385440, 1.382471, 1.152717, b
0.339419, 0.146250, 0.440808, 0.211947, 0.392537, 0.211973, -0.291178, -0.057582, 0.089343, 0.351102, -0.119539, -0.286883, -0.180407, 0.145992, 0.056523, g
-0.225099, -0.281693, -0.532169, 0.722285, -0.029646, 0.722285, 0.966261, 0.451840, -0.287386, -1.280238, -0.342847, 0.936801, 0.557799, 0.348611, -0.089242, b
0.134318, -0.052312, 0.211333, 0.019960, 0.020083, 0.019964, -0.015775, -0.262077, 0.025799, -0.058595, 0.041310, -0.150522, -0.298917, -0.036594, 0.179742, g
0.437770, -1.740338, -0.430776, -0.186954, -1.775343, -0.187018, -0.227236, -0.161853, 0.189495, 0.386159, -1.209589, 0.096620, 1.103523, -1.165776, -0.141002, b
-0.020643, 0.073010, -0.256943, 0.057577, -0.065884, 0.057578, 0.332187, 0.151870, 0.307036, 0.033745, 0.354348, 0.031174, 0.041048, 0.025518, -0.285280, g
-0.566382, 2.177864, -0.663170, 0.682125, -2.129289, 0.682279, 0.168839, -1.286433, 1.083204, -0.287100, -1.620355, 1.897584, -2.533949, 1.430532, -0.337479, b
0.034992, -0.100340, 0.068422, 0.053628, 0.190625, 0.053632, -0.020210, -0.035869, -0.026194, 0.051872, -0.017572, -0.172145, -0.002918, 0.069601, -0.165701, g
-0.313230, -0.344796, 0.780921, -8.806268, 0.124691, -8.807183, 0.931303, 0.165189, -0.205983, 0.990351, -0.975797, -0.252695, -0.129428, -0.198331, -0.586999, b
0.452162, -0.457356, -0.203366, -0.445381, -0.029770, -0.445452, 0.564764, 0.491486, -0.617836, 0.362520, 0.197470, -0.210494, 0.409270, -0.272332, -0.000181, g
-0.540785, -3.015177, -0.773448, 1.391204, 1.271940, 1.391202, -1.371910, -0.310857, 0.671943, -0.139355, 0.256877, 0.752144, 0.369150, 0.919895, -0.673881, b
0.100622, -0.088220, 0.001033, -0.139247, 0.096045, -0.139264, -0.177091, -0.107316, 0.195131, 0.198738, -0.140847, -0.385520, -0.079516, -0.073782, -0.184551, g
2.244502, -0.280148, 2.125664, -0.373801, 0.412814, -0.373817, 2.646026, -0.153181, -0.288900, 3.451417, 0.884785, 1.751415, -1.217295, 3.196390, -2.344662, b
-0.068332, -0.059841, 0.055703, -0.005217, 0.075087, -0.005213, -0.162594, -0.125171, -0.007516, 0.308132, 0.036914, -0.090766, -0.132938, 0.032584, -0.044834, g
-0.180399, 0.686912, -0.715353, -0.570928, 0.556279, -0.570955, 0.642916, 7.791138, -5.119976, 1.025520, 0.419262, 0.181555, 3.903335, -0.253673, 0.295442, b
0.360033, 0.027013, 0.112192, 0.027188, 0.193101, 0.027172, -0.314688, 0.162310, -0.083005, -0.298492, -0.115502, -0.272163, 0.060829, 0.175247, -0.275976, g
0.082587, 0.268852, -0.572637, 0.338913, 0.507239, 0.338921, -0.025188, -0.927086, -0.334806, 0.532947, -1.282349, 0.575947, 0.377046, 1.142282, -0.245918, b
-0.468196, -0.114264, -1.159221, 0.181640, 0.475799, 0.181674, 0.300763, 0.940257, -0.314622, -0.640319, 0.468627, -0.483245, 1.460059, -0.210793, -0.679491, g
5.475431, 0.242717, -0.535909, 0.924360, -0.524281, 0.924311, 0.237956, 0.697666, 1.075110, -8.946832, -0.568908, 0.244056, -0.321871, -1.106079, -0.567073, b
-0.331983, -0.338283, -0.266047, 0.292541, 0.254545, 0.292551, 0.224812, 0.011293, -0.119772, -0.057597, 0.340810, 0.305199, 0.574839, 0.227188, -0.153883, g
-0.567096, 1.035038, 0.686499, 0.188255, -0.562165, 0.188350, -0.490887, -0.565223, -11.628171, -0.160097, -0.843496, -1.506935, 0.014600, -0.045948, 0.419525, b
0.073974, -0.146790, -0.361266, -0.133328, -0.233789, -0.133350, -0.192290, -0.154176, 0.108891, -0.056414, -0.115913, -0.555102, -0.113839, -0.259458, 0.279578, g
-1.046824, 0.645042, 0.015552, 3.617960, 0.572266, 3.618373, 2.297625, 0.042819, 0.074659, 0.824900, -0.317107, 0.647801, 0.649052, -2.264737, -1.106830, b
0.053931, -0.011438, 0.225204, 0.089056, 0.176737, 0.089068, -0.121997, -0.048845, -0.037534, 0.125566, -0.018702, -0.126222, -0.230470, 0.003122, 0.175331, g
-0.478205, -0.739271, 0.996866, 0.931920, 1.836962, 0.932074, -0.343110, 0.050266, 0.639496, 0.376058, 1.946757, -1.877456, -0.746935, 0.267779, -0.255581, b
-0.143174, -1.027473, 0.160289, -0.142990, -0.951492, -0.142978, -0.034269, -0.481493, -1.049390, 0.304519, -0.336611, -0.513720, 0.408581, 0.377748, 0.295442, g
-2.200709, -0.131311, -1.089744, 0.230222, -1.101447, 0.230320, 0.566405, -0.193869, -0.366718, 0.563492, 0.692892, 0.453289, -0.490273, 0.356107, -0.618285, b
0.110423, 0.072541, -0.036401, -0.004459, -0.017800, -0.004466, -0.011337, 0.045901, 0.218186, -0.052399, -0.067822, -0.175667, -0.124889, 0.004882, 0.003111, g
0.323194, -1.048230, -0.553805, -1.570435, -0.780143, -1.570530, -2.569425, -2.902043, 0.456651, 0.883215, 3.286490, 8.634494, 0.023893, -0.427376, 1.351376, b
0.081863, -0.022043, 0.091279, 0.032810, 0.156701, 0.032813, 0.067697, -0.015304, 0.116048, -0.044407, 0.095328, -0.099354, -0.048758, 0.053321, -0.018533, g
0.492468, 0.130653, 1.130195, 1.074326, -0.709024, 1.074385, 0.561478, -0.402152, 0.193992, 0.777287, -0.398942, 0.359875, -1.607901, 1.163224, 0.117612, b
-0.106623, -0.262530, 0.161806, 0.071312, 0.277121, 0.071324, 0.151543, -0.017959, -0.104100, 0.043564, 0.289876, -0.051729, 0.213487, 0.149066, -0.200869, g
-0.294855, 0.774338, 2.036971, -0.020384, 0.450334, -0.020447, -0.116588, 4.365737, 1.233661, -0.244530, -1.834122, 7.436476, 1.246084, -0.158754, 0.318075, b
-0.532717, -0.558526, -0.385351, 0.187905, 0.463423, 0.187917, 0.107018, 0.138255, -1.108522, 0.255160, 0.465055, -0.172663, -0.153430, 0.050078, -0.459691, g
