@relation Ionosphere-19



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute attr7 real 
@attribute attr8 real 
@attribute attr9 real 
@attribute attr10 real 
@attribute attr11 real 
@attribute attr12 real 
@attribute attr13 real 
@attribute attr14 real 
@attribute attr15 real 
@attribute attr16 real 
@attribute attr17 real 
@attribute attr18 real 
@attribute RESULT {g, b} 



@data
-0.276447, 0.283932, 0.183978, 0.076998, -0.582017, 0.250870, -0.191902, -0.326610, 0.057178, -0.390071, 0.024284, 0.013616, -0.319535, -0.212585, 0.175292, 0.092048, 0.037196, -0.390072, 0.328046, g
-0.440386, 0.568885, 0.247907, -1.784871, -0.251205, 0.034527, -0.319937, 0.245378, -0.410025, 1.211850, 0.503936, 1.020664, -0.533849, 1.197731, -0.129926, 0.473009, -0.576321, 1.211852, 0.766381, b
-0.277799, -0.052595, -0.293585, -0.034155, 0.167727, -0.388722, 0.331954, 0.517928, 0.180849, -0.263506, 0.052732, -0.267583, -0.346461, 0.387094, -0.699538, -0.115406, 0.197505, -0.263506, 0.311260, g
-0.109875, -0.820079, 5.065189, -0.363221, 1.124559, 0.337925, -2.128868, 0.051389, 0.510976, 0.469461, -1.281148, -0.501274, -0.505341, 0.780583, 1.186666, -1.360511, -0.416003, 0.469450, 3.662175, b
0.006267, -0.431946, -0.136015, 0.249512, -0.019148, -0.457458, -0.614989, 0.685887, -0.393806, -0.068853, 0.257522, -0.304008, -0.307819, 0.050551, -0.341532, -0.163392, 0.010447, -0.068855, 0.121805, g
0.097864, 1.005725, 0.127202, 0.160924, 0.058679, 0.304579, -0.072518, 0.013045, -0.050360, -0.259743, -0.248869, 0.202446, 0.157100, -0.323038, 0.280036, -0.623516, -0.193607, -0.259743, 0.126007, b
0.345089, -0.056212, -0.056107, 0.221652, 0.263037, -0.044878, -0.247737, 0.028723, -0.729180, -0.022404, 0.131592, 0.525784, 0.048402, -0.539176, -0.026079, 0.077507, 0.029286, -0.022405, -0.129321, g
1.850167, -1.395410, 0.311017, 0.737720, 2.906580, -1.183190, 0.106747, -0.329808, -0.003898, 1.310454, -6.798778, -2.066333, -1.822929, 0.047149, 1.517222, -1.939300, 0.653756, 1.310439, 2.579105, b
0.207308, -0.235331, -0.579864, -0.044099, 0.556740, 0.041300, -0.373293, 0.036406, -0.607912, -0.470655, -0.246234, 0.177335, -0.062997, 0.274686, 0.067996, 0.144081, 0.747578, -0.470656, -0.011714, g
-0.991195, -0.254149, -0.246392, 0.296146, -0.024526, 0.597357, -0.411651, 1.039480, -0.076689, -0.077008, 0.444157, 0.810405, -0.700922, 0.510139, -1.644661, -0.933685, 0.564220, -0.077004, -0.500293, b
0.253777, 0.118252, -0.219538, -0.070898, 0.439362, -0.066769, -0.449037, 0.084854, -0.447075, -0.288601, 0.276286, 0.351844, 0.244919, -0.426216, 0.107934, 0.089936, 0.224519, -0.288601, -0.213187, g
0.974645, -1.050979, -1.197237, 0.216953, -0.014083, -0.085215, -0.533640, -0.194312, 0.474931, -0.037445, -1.175991, 0.190755, -0.278975, 0.530559, -1.061806, -0.172993, -0.689133, -0.037449, 0.934333, b
-0.057132, -0.234648, -0.250540, 0.085278, 0.200054, 0.121108, -0.084549, 0.126991, -0.431333, -0.102246, -0.156266, 0.159441, 0.182863, 0.001251, -0.027603, 0.091621, 0.376485, -0.102246, 0.032299, g
