@relation Ionosphere-3



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute RESULT {g, b} 



@data
0.169360, -0.006655, -0.294635, g
0.087678, -0.011137, -0.561741, b
0.354911, -0.003753, -0.232294, g
0.032553, -0.014304, -3.390015, b
0.728685, -0.004358, 0.096035, g
-0.714730, 0.007950, -0.333916, b
0.285417, -0.008228, 0.216764, g
-2.779459, -0.041503, -1.192102, b
0.086049, -0.005659, 0.049408, g
0.109147, 0.011772, 0.651624, b
0.209285, -0.004433, 0.140418, g
-0.990800, 0.015543, -0.589447, b
-0.012341, -0.001837, -0.011867, g
0.430075, -0.004336, 0.351236, b
0.044771, 0.002164, -0.278025, g
-0.184358, -0.018284, 0.005180, b
0.047076, -0.003543, 0.042174, g
1.640234, -0.010026, -0.609542, b
0.333157, 0.003120, -0.383851, g
0.085554, 0.031894, 2.170249, b
0.200739, -0.002324, 0.058230, g
2.664726, -0.017036, -2.889978, b
0.307251, -0.003602, 0.220265, g
0.892915, -0.000467, -0.815827, b
-0.384908, 0.002475, 0.175801, g
0.472451, -0.001610, 0.053761, b
-0.520072, -0.008730, -0.264396, g
-9.628105, 0.028689, -1.016407, b
0.067092, 0.004715, -0.126907, g
-0.499658, 0.006353, 0.524939, b
0.080484, 0.000551, 0.118892, g
0.255890, 0.020461, -1.632610, b
0.125726, -0.002271, 0.091921, g
0.338167, -0.027497, 0.249705, b
0.450053, -0.018942, 0.068380, g
0.854670, -0.000740, -0.252559, b
-0.040993, 0.000562, -0.041925, g
1.450907, -0.038778, 4.267043, b
-0.043300, -0.002769, -0.060072, g
0.605948, 0.021151, -0.408291, b
0.041246, -0.005374, -0.001247, g
0.012109, -0.004735, 0.333462, b
0.374170, -0.000709, 0.265055, g
-0.383066, 0.013816, 0.408981, b
0.204929, -0.001829, 0.243457, g
-2.420428, -0.025493, 0.181821, b
0.107503, -0.001424, 0.075747, g
0.236222, -0.006949, -0.659799, b
-0.070165, -0.001502, -0.168948, g
2.360986, 0.000985, -0.763697, b
-0.234535, -0.001067, -1.258291, g
-0.847776, 0.035148, -4.747731, b
0.572483, -0.007276, 0.500492, g
0.285976, 0.001270, -0.662001, b
0.037141, -0.001382, 0.071417, g
-1.435063, -0.006225, -1.295072, b
0.211852, 0.020102, -0.003935, g
-0.147239, 0.000368, 11.515087, b
-0.159202, 0.000074, -0.179792, g
2.049036, -0.009170, -3.117175, b
-0.102176, -0.002761, -0.144956, g
2.743411, -0.001479, 0.211754, b
-0.018547, -0.005044, -0.110280, g
-1.334699, 0.018663, 0.197147, b
-0.165055, 0.000430, 0.119355, g
0.532427, 0.014361, -0.166157, b
-0.119548, 0.003258, -0.007321, g
-0.251295, 0.023569, -0.422524, b
-0.591286, -0.008407, -1.023168, g
0.328315, 0.025091, -0.964925, b
-0.167770, -0.000910, -0.338107, g
0.115833, 0.006945, -0.137337, b
0.052529, -0.003532, 0.019033, g
0.133409, -0.001974, 0.252412, b
-0.140518, -0.002382, -0.330612, g
0.665940, -0.021212, 1.652037, b
-0.092314, -0.002711, -0.141116, g
-0.940627, -0.018801, 0.277082, b
-0.086439, -0.000073, 0.288726, g
-0.224794, 0.008677, -0.918233, b
-0.199096, -0.005731, -0.075490, g
-0.865743, 0.020331, -0.652588, b
0.099092, -0.005486, 0.017574, g
0.365638, -0.004896, 0.253916, b
-0.376373, -0.004164, -0.349588, g
0.156401, 0.003300, -0.513774, b
-0.225445, -0.001291, -0.066095, g
-0.325807, 0.012049, -0.585921, b
-0.046362, 0.002833, -0.114758, g
-0.209432, 0.017877, -0.745310, b
-0.242489, 0.000527, -0.085738, g
-0.353882, 0.001910, -0.484055, b
-0.112258, -0.000513, -0.202858, g
-0.153235, -0.028233, 0.242688, b
-0.065162, -0.018067, 0.151692, g
0.868677, 0.012394, -0.892466, b
0.132859, -0.002749, 0.118791, g
0.276868, -0.002584, 0.010816, g
-3.891283, -0.002954, -0.475073, b
0.082892, -0.000175, -0.067695, g
-0.485098, 0.005771, -0.295490, b
-0.021495, -0.001546, -0.055042, g
-0.490113, -0.006562, 0.446180, b
0.136210, -0.002732, -0.115269, g
2.506438, 0.009701, -0.955175, b
0.671156, 0.006055, 0.320329, g
2.150096, 0.003514, 0.559090, b
-0.081212, 0.001394, -0.040029, g
1.084892, 0.001363, 0.411976, b
-0.133446, 0.004432, 0.415220, g
0.012066, -0.002927, -0.141199, b
0.014831, -0.002690, 0.055000, g
2.224530, -0.000800, -0.091785, b
0.232322, -0.002552, -0.090185, g
-0.310642, -0.006203, -0.465332, b
-0.179648, 0.000324, 0.206661, g
0.399084, 0.017515, 0.218810, b
-0.185083, 0.000823, -0.172683, g
1.337348, -0.003304, 0.210547, b
0.073144, -0.004247, -0.108685, g
-0.081078, 0.014916, 0.231461, b
-0.566350, -0.009720, -0.778146, g
-0.303646, 0.028134, -0.404730, b
-0.247858, -0.001265, 0.587143, g
0.996566, -0.000946, -1.021844, b
0.511934, -0.002294, 0.508861, g
1.086698, -0.013032, 0.576373, b
-0.032666, -0.001471, -0.047629, g
0.679593, -0.024167, -1.647980, b
-0.002131, -0.001210, -0.090230, g
-0.018598, -0.008171, -0.347782, b
0.489633, 0.001965, -0.204178, g
2.292204, -0.030228, 0.497763, b
-0.071220, 0.001207, 0.122050, g
0.715064, -0.000865, -0.229449, b
0.299132, -0.004441, 0.312587, g
-0.000352, 0.030545, 1.618045, b
0.059004, 0.001815, 0.249589, g
-0.606812, 0.007560, 0.303555, b
0.069914, 0.011036, 0.217449, g
0.084345, -0.014475, 0.396976, b
0.035851, -0.000973, -0.042342, g
1.472291, -0.014996, 1.826258, b
-0.086578, 0.004057, -0.030701, g
-0.094012, 0.004481, 0.167420, b
-0.201398, 0.001359, 0.282129, g
-0.786350, 0.009397, 1.129428, b
-0.026516, -0.001408, -0.098198, g
-0.087625, -0.008105, -0.012168, b
-0.029150, -0.002198, -0.164197, g
0.005353, 0.012304, -0.185089, b
-0.226589, 0.001510, -0.199366, g
-0.363192, 0.003619, 0.161843, b
0.252404, -0.000642, -0.349599, g
-0.295375, 0.005142, -0.004544, b
-0.067246, -0.001136, 0.059985, g
-0.397973, 0.007517, 0.026469, b
-0.236251, 0.003809, -0.317385, g
-0.259354, 0.006813, 0.121094, b
0.119272, 0.003180, -0.125329, g
-0.359536, 0.007455, 0.089309, b
