@relation Ionosphere-5



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute RESULT {g, b} 



@data
0.192472, -0.192468, -0.445585, 0.088521, -0.287649, g
-0.849200, 0.849139, -1.815210, 0.828653, -0.440286, b
0.157994, -0.157986, 0.252829, 0.080861, -0.253769, g
-0.394432, 0.394392, -3.192887, -0.906947, -3.263929, b
0.027523, -0.027525, -0.601298, 0.212386, 0.064997, g
-0.273458, 0.273450, -0.033759, 0.224236, -0.321075, b
0.105533, -0.105532, -0.411149, 0.283235, 0.221670, g
0.690275, -0.690265, -0.911180, -1.489232, -1.052455, b
0.561413, -0.561372, -0.379290, 0.342642, 0.095325, g
0.038032, -0.038008, 0.182274, 0.724737, 0.626204, b
0.258522, -0.258510, -0.526308, 0.226796, 0.161296, g
-0.673105, 0.673077, 0.408969, -0.583476, -0.488536, b
0.235341, -0.235321, 0.054152, 0.216004, 0.011063, g
-0.825841, 0.825773, 0.557552, 0.166067, 0.247713, b
-0.093413, 0.093413, -0.107036, 0.125059, -0.262522, g
1.499150, -1.499032, -2.697598, 1.448686, 0.217858, b
0.032506, -0.032505, -0.163731, 0.034282, 0.056580, g
0.243764, -0.243763, 10.934001, -0.038959, -1.116334, b
-0.348016, 0.347996, 0.688344, -0.746315, -0.467011, g
-0.944141, 0.944140, 1.223973, 0.030619, 1.652974, b
0.106581, -0.106574, 0.216953, 0.207255, 0.057166, g
1.182984, -1.182921, -0.337747, -0.080260, -3.466349, b
0.154285, -0.154274, -0.192145, 0.069713, 0.229475, g
-2.556342, 2.556019, 0.302079, -7.429810, -1.078864, b
-0.066096, 0.066095, 0.217002, -0.123097, 0.198405, g
-0.136670, 0.136654, -0.888699, -0.535739, 0.006305, b
-0.723806, 0.723722, -0.267740, -0.935961, -0.133486, g
-0.054794, 0.054833, -0.991684, 0.992853, -0.673468, b
-0.512686, 0.512657, 0.248204, -0.237196, -0.150223, g
-0.216454, 0.216376, 0.303167, -9.683322, 0.467885, b
0.064176, -0.064169, 0.426850, 0.031571, 0.121100, g
-0.569700, 0.569693, -4.968514, 0.098041, -1.380960, b
0.196460, -0.196445, -0.145946, 0.107190, 0.114460, g
0.993314, -0.993271, -1.813417, 1.229997, 0.360468, b
-0.157461, 0.157418, 0.068010, -0.755795, -0.009946, g
0.257748, -0.257728, -0.326370, -0.714226, -0.270899, b
0.073143, -0.073135, 0.098390, 0.160947, -0.021129, g
0.505580, -0.505571, -0.054552, 0.561852, 3.890831, b
0.055383, -0.055378, -0.129546, 0.178158, -0.036672, g
0.764778, -0.764673, -0.899911, 0.545150, -0.481524, b
-0.100055, 0.100047, -0.304087, 0.039954, 0.019489, g
-0.920576, 0.920474, 0.172696, 0.890222, 0.291861, b
0.157302, -0.157293, -0.176322, -1.055062, 0.260615, g
0.368873, -0.368835, -2.920307, 0.332837, 0.840636, b
0.225275, -0.225260, -0.078166, 0.270997, 0.257687, g
1.547975, -1.547911, 0.509813, 0.066814, 0.236190, b
0.115641, -0.115633, 0.096223, 0.173430, 0.085450, g
1.310470, -1.310385, -0.604356, 0.510920, -0.598655, b
0.088209, -0.088202, -0.076791, 0.083753, -0.141040, g
0.828100, -0.828038, -0.148993, 0.957736, -0.990736, b
0.095740, -0.095739, -0.289237, 0.267221, -1.195077, g
-1.297884, 1.297845, 0.381211, -0.047316, -5.545375, b
0.114502, -0.114502, -0.292584, -0.561864, 0.402520, g
-0.341734, 0.341728, 2.475247, 1.777916, -0.803178, b
0.095691, -0.095686, -0.069997, 0.107963, 0.107960, g
-0.359338, 0.359326, -0.083991, 2.526539, -0.816318, b
-0.034330, 0.034357, -0.342519, 0.426356, 0.031252, g
0.541810, -0.541786, -0.281383, -0.689509, 11.371088, b
0.028945, -0.028938, -0.073967, 0.147971, -0.144608, g
0.524702, -0.524656, 0.560516, 3.304182, -3.120761, b
0.029892, -0.029888, -0.179432, 0.142346, -0.113829, g
0.241179, -0.241151, -0.040800, 0.337240, 0.175523, b
0.016665, -0.016664, -0.431891, 0.207903, -0.077548, g
-0.636966, 0.636961, 1.515386, 1.682788, 0.397134, b
-0.199345, 0.199324, -0.108326, 0.238254, 0.145427, g
-0.054873, 0.054884, -0.832134, -0.549101, -0.179268, b
0.187652, -0.187634, 0.039467, 0.416427, 0.036883, g
-0.722315, 0.722291, 0.537627, -0.808241, -0.596589, b
-0.126634, 0.126613, -0.269966, -0.076787, -1.080095, g
-0.678450, 0.678443, 0.777004, 0.427561, -1.204169, b
-0.200199, 0.200188, -0.232211, 0.008031, -0.293397, g
-0.308007, 0.308003, -0.160431, 0.933648, -0.278096, b
-0.193118, 0.193106, -0.283572, 0.179837, 0.042165, g
-0.211144, 0.211136, 0.431071, 1.196273, 0.093059, b
-0.159369, 0.159361, -0.105303, 0.188666, -0.310245, g
0.887069, -0.887051, -0.642594, -0.241789, 1.529736, b
-0.128126, 0.128118, -0.114850, 0.044661, -0.110449, g
-0.699483, 0.699428, 0.606290, 0.830386, 0.156537, b
-0.043305, 0.043300, -0.276594, 0.523736, 0.323594, g
1.744935, -1.744757, -0.355178, 1.159978, -1.081714, b
0.554233, -0.554203, -1.034223, -0.213320, 0.136545, g
0.109242, -0.109234, -0.383499, -0.749400, -0.510270, b
-0.182421, 0.182406, -0.226949, 0.007237, 0.026422, g
0.605263, -0.605230, -0.163248, -1.429431, 0.209913, b
-0.147074, 0.147056, 0.189856, 0.069944, -0.333886, g
0.568180, -0.568141, 0.803740, -0.911074, -0.469384, b
0.126399, -0.126387, -0.000180, -0.059748, -0.050996, g
0.323686, -0.323627, 0.764754, 0.154620, -0.559781, b
0.013795, -0.013788, -0.039940, 0.157918, -0.132475, g
-0.037426, 0.037449, 0.645422, -0.436295, -0.939003, b
-0.205551, 0.205545, -0.409974, 0.137576, -0.003907, g
-0.040789, 0.040790, -0.141340, 0.109402, -0.413674, b
-0.041536, 0.041542, 0.446044, 0.902857, -0.133073, g
0.634675, -0.634679, -0.781728, -0.527560, 0.410485, b
0.124238, -0.124260, -0.580931, -0.301068, 0.200946, g
-0.893060, 0.893019, 1.567864, 0.149238, -1.063141, b
0.034499, -0.034497, 0.152510, 0.184925, 0.126140, g
0.115895, -0.115887, 0.314370, 0.193356, -0.008464, g
1.093705, -1.093629, 0.030232, -0.137722, -0.232849, b
-0.080379, 0.080374, 0.066759, 0.100576, -0.058338, g
-0.068508, 0.068505, 0.127651, 0.371280, -0.238585, b
0.131849, -0.131839, 0.076951, 0.202521, -0.042512, g
0.447902, -0.447889, 0.656861, -0.742371, 0.371312, b
0.238115, -0.238100, 0.622748, 0.272927, -0.151208, g
0.230527, -0.230494, 0.469046, -0.272219, -0.997675, b
-0.542858, 0.542826, 1.005457, -0.351303, 0.247687, g
0.290728, -0.290712, -0.388139, 0.084600, 0.504415, b
0.022923, -0.022919, 0.015096, 0.125577, -0.026059, g
-1.790875, 1.790710, -0.028422, -0.395308, 0.494123, b
0.039877, -0.039865, 0.290480, -0.124773, 0.336675, g
-0.237788, 0.237754, 1.813646, -0.974864, -0.174418, b
0.038693, -0.038692, 0.146792, 0.114738, 0.084983, g
-0.180601, 0.180593, 0.860823, 0.125361, -0.151523, b
0.250996, -0.250979, 0.347720, 0.095081, -0.079983, g
0.564850, -0.564821, 0.028435, 1.668420, -0.408980, b
0.054569, -0.054569, -0.054429, -0.027028, 0.219317, g
0.042768, -0.042731, 0.023630, 0.720267, 0.212646, b
-0.020910, 0.020919, -0.005995, 0.277822, -0.148443, g
-0.045704, 0.045689, -1.480595, -0.003221, 0.214634, b
-0.034075, 0.034070, 0.356599, 0.095755, -0.106994, g
-0.692143, 0.692118, -0.448431, 0.345720, 0.231736, b
0.034057, -0.034066, -0.288001, -0.293797, -0.850853, g
-1.667631, 1.667540, 0.869936, 1.225272, -0.254460, b
0.253268, -0.253253, -0.407492, -0.139390, 0.632872, g
0.120830, -0.120847, -1.502488, -1.981691, -0.834552, b
0.571530, -0.571486, -0.831748, 0.549344, 0.589401, g
0.050352, -0.050379, -0.444784, -0.136311, 0.566363, b
0.122144, -0.122134, -0.073356, 0.139984, -0.032423, g
0.503557, -0.503577, -1.720420, -1.051674, -1.561768, b
0.042877, -0.042872, 0.018494, 0.080661, -0.071526, g
-0.352393, 0.352346, -0.299528, -0.665120, -0.380594, b
0.408256, -0.408224, 0.265852, -0.273578, -0.281816, g
-0.081438, 0.081392, 0.366685, 0.500993, 0.475067, b
-0.192592, 0.192577, -0.027648, 0.030374, 0.123394, g
-0.260698, 0.260687, 0.801052, 0.700607, -0.345642, b
0.033627, -0.033632, -0.069600, -0.150488, 0.335529, g
-2.332615, 2.332467, 0.695697, 0.655769, 1.351225, b
-0.384868, 0.384846, -0.401591, 0.265288, 0.300224, g
-0.091881, 0.091876, -0.581162, 0.165580, 0.354899, b
0.594115, -0.594050, 0.341998, 0.633338, 0.222375, g
-0.254404, 0.254367, -0.741995, 0.480959, 0.485809, b
0.045225, -0.045219, 0.047042, 0.152743, -0.024269, g
0.210185, -0.210177, 0.189314, -0.764883, 1.658267, b
-0.034561, 0.034567, 0.095279, -0.030091, -0.054989, g
-0.124564, 0.124561, -0.126002, 0.043128, 0.194992, b
-0.051779, 0.051772, -0.504324, -0.165191, 0.319305, g
-0.194943, 0.194936, -0.965697, 0.241938, 1.225547, b
0.034778, -0.034773, 0.042402, 0.013253, -0.080183, g
-0.400281, 0.400240, -0.218218, -0.261828, -0.002639, b
0.026686, -0.026683, 0.023679, 0.034420, -0.148446, g
-0.506150, 0.506137, 0.081414, -0.047814, -0.155598, b
-0.102197, 0.102195, 0.011301, 0.306611, -0.169547, g
-0.185272, 0.185264, -0.159414, 0.041530, 0.174191, b
0.145193, -0.145181, 0.124399, -0.032020, -0.349263, g
0.155317, -0.155301, -0.093948, -0.025969, 0.001404, b
-0.041611, 0.041608, -0.023981, 0.080604, 0.083443, g
-0.127369, 0.127370, -0.022063, 0.199371, 0.034475, b
0.174344, -0.174328, -0.006933, -0.195262, -0.288883, g
-0.085659, 0.085658, -0.259360, -0.111826, 0.105466, b
0.488517, -0.488486, 0.406092, -0.190059, -0.191805, g
-0.112463, 0.112463, 0.063303, 0.003633, 0.106505, b
-0.178961, 0.178953, 0.259660, 0.058072, -0.129427, g
-0.790204, 0.790168, -4.437547, -0.167714, 0.709796, b
0.503759, -0.503723, 0.316782, 0.211767, -0.023594, g
-3.316639, 3.316333, 0.444844, -1.099821, -0.186820, b
0.086506, -0.086511, -0.311120, -0.033644, 0.049261, g
-1.409247, 1.409206, 0.737106, 6.431048, 0.813696, b
0.089418, -0.089427, -1.041149, 0.804921, 1.801066, g
0.291496, -0.291475, 0.499029, -0.371766, 0.598099, b
-0.330518, 0.330495, 0.081573, 0.534362, -0.096099, g
-0.114112, 0.114087, -7.026579, -0.574264, -1.204104, b
-0.065836, 0.065830, -0.359447, 0.611073, 0.196007, g
