@relation Ionosphere-7



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute RESULT {g, b} 



@data
-0.086857, -0.231909, 0.209446, 0.051751, 0.172741, -0.296031, -0.010490, g
-0.163969, -0.534694, -0.129058, 0.554962, 1.016467, -0.960843, -0.737451, b
-0.030886, -0.290762, 0.267643, 0.260888, 0.185467, 0.298687, 0.338654, g
-0.187738, -0.220455, 0.315296, 0.823308, -0.729510, -1.956787, -0.496153, b
-0.086504, -0.718764, 0.097934, -0.151727, 0.315502, -0.606771, 0.277151, g
0.109488, 0.688161, 0.086910, -0.150521, 0.062884, 0.114491, -0.042918, b
-0.148277, -0.461237, -0.517412, -0.291498, 0.406979, -0.383166, -0.142654, g
-0.494772, 3.297032, -1.274368, -1.174525, -1.061585, -0.425337, -1.571994, b
-0.094936, -0.143728, -0.253388, 0.151382, 0.471015, -0.451918, 0.200800, g
0.175220, 0.126828, 1.737974, -0.518470, 0.547402, -0.112226, 1.003260, b
-0.093635, -0.373426, -0.461587, 0.147634, 0.312594, -0.541808, 0.023896, g
0.204564, 1.182619, -0.479241, -0.448150, -0.807961, 0.053826, -0.121905, b
-0.033558, 0.023316, -0.058640, -0.082554, 0.263618, -0.121239, 0.114091, g
-0.118990, -0.442758, -1.492493, -1.062506, 0.172584, 0.410053, -0.972154, b
0.029897, -0.050572, -0.025741, 0.140454, 0.094692, 0.028384, -0.116857, g
-0.259454, -0.075679, 0.373362, 0.943871, 1.858639, -2.011861, -0.061399, b
-0.061068, -0.077789, -0.274432, -0.147175, 0.082540, -0.210460, -0.241846, g
0.156228, -1.179501, -0.632963, 0.018647, 0.253022, 12.321696, -0.307544, b
0.058318, -0.266881, -0.338259, -0.194974, -0.762758, 0.850987, -0.214529, g
0.212863, 0.299232, -0.788984, -6.043440, -0.610501, -0.823667, -0.244110, b
-0.043419, -0.239389, -0.231090, -0.093761, 0.244652, 0.084852, -0.161539, g
-0.296160, -3.621810, -0.235019, -0.440651, 0.360679, -0.225882, 0.606105, b
-0.066855, -0.332514, -0.308033, -0.100431, 0.138514, -0.168608, -0.165704, g
0.106537, -1.253431, -0.630431, 1.788973, -7.407105, 0.815880, -0.446859, b
0.051832, 0.357656, 0.217861, 0.123316, -0.180972, 0.124784, -0.362105, g
-0.029158, -0.566137, 0.067638, -0.047741, -0.551567, -0.577609, -0.715433, b
-0.077690, 0.453103, 0.404848, -0.037975, -0.949336, -0.407725, -0.973298, g
0.489173, 9.574681, -0.278850, 1.015391, 0.364201, -0.113412, 0.339784, b
0.071994, 0.074999, 0.496157, -0.307656, -0.349904, -0.130858, -0.119783, g
0.174212, 0.936101, -1.770983, 0.927589, -9.555866, -0.147277, -0.385301, b
0.015616, 0.021559, 0.118502, -0.073935, 0.014484, 0.263873, 0.011478, g
0.182074, -0.236444, 0.329544, 0.622499, -0.245070, -4.611060, -2.031289, b
-0.047728, -0.163740, -0.188406, -0.042331, 0.161993, -0.241188, 0.125154, g
