@relation Ionosphere-9



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute attr7 real 
@attribute attr8 real 
@attribute RESULT {g, b} 



@data
0.355473, -0.220828, 0.265872, 0.151148, -0.106483, 0.196832, -0.192522, -0.165113, 0.459477, g
-0.107959, -0.405679, 0.618277, -0.978719, -0.355413, 0.735627, -0.018713, -0.253664, 1.813835, b
-0.436238, -0.225205, 0.322312, 0.190717, -0.147723, 0.467630, -0.356527, -0.107160, -0.234023, g
0.114365, -3.130098, 0.230587, -0.545605, 0.436769, 0.158685, 0.986132, -0.209818, 3.179834, b
-0.647929, 0.124202, 0.762589, 0.035833, -0.165561, 0.041561, -0.291689, -0.137407, 0.651761, g
-0.101072, -0.381077, -0.676507, -0.299736, -0.318315, -0.202471, 0.190196, 0.205529, -0.015215, b
0.086496, 0.329141, 0.481594, 0.121138, 0.049654, 0.178683, -0.614038, -0.233033, 0.441752, g
1.274961, -0.973386, -3.254515, 0.755462, 0.907803, 0.741027, 0.207842, -0.621442, 0.929845, b
0.109374, 0.125943, 0.174967, 0.820575, 0.076970, 0.534381, 0.022371, -0.191954, 0.402103, g
-1.251675, 0.364693, -0.198219, 0.173889, -1.411883, -1.480326, 0.248447, 0.334619, -0.157472, b
0.031068, 0.275864, 0.406079, 0.310662, 0.124838, 0.301501, -0.345226, -0.175106, 0.540332, g
-0.218861, -0.884901, -1.290757, -0.796327, -0.261497, -0.312917, 0.025019, 0.420169, -0.430081, b
-0.046173, 0.009979, -0.030121, 0.389546, 0.121186, 0.169732, -0.056208, -0.063715, -0.042788, g
0.341144, 0.364634, 0.464482, -1.311593, -0.209184, 0.578373, -0.119080, -0.063154, -0.540092, b
0.172410, -0.323931, 0.059937, -0.085791, -0.216179, -0.020610, 0.099299, 0.053668, 0.109450, g
0.771089, 0.196521, 0.017575, 2.409523, -0.689534, 0.258060, -0.878097, -0.546067, 2.671169, b
0.245697, 0.077353, 0.094669, 0.078764, 0.113309, 0.045130, -0.208007, -0.090284, 0.181587, g
1.132966, -1.325273, 0.693872, 0.116758, 0.584440, -0.035062, -0.960790, 0.169963, -10.984403, b
-0.124611, -0.495713, 0.392966, -0.334661, 0.853852, 0.389723, 0.209040, 0.058053, -0.678951, g
-0.201912, 2.142986, -0.190804, -0.483358, -0.425623, -1.413463, 0.391301, 0.649258, -1.236502, b
0.227891, 0.105984, 0.216783, 0.164606, 0.102781, 0.062053, 0.010599, -0.060431, -0.207136, g
2.342620, -2.112484, 3.939461, 1.137595, -1.601747, 2.070401, -0.134457, -0.544905, 0.409333, b
0.161795, 0.225307, 0.353912, 0.244169, 0.129484, -0.014228, -0.182140, -0.111950, 0.218395, g
-1.010545, -0.453692, 1.545286, -4.983139, 4.558821, -0.430179, -2.817738, -0.038364, -0.351505, b
0.385398, 0.220099, -0.298867, -0.045893, 0.261373, 0.288692, -0.312785, 0.007805, -0.231598, g
0.369291, 0.195701, 0.698243, -0.191104, -0.009351, -0.170012, 0.329092, -0.058812, 0.930727, b
0.651381, -0.218986, -0.552072, -1.415415, 0.108664, -0.365981, -0.260701, -0.056081, 0.278933, g
-0.228021, -0.564606, -8.952465, 0.083591, -0.528457, 4.950363, 0.366096, 0.475830, 0.495330, b
-0.055154, -0.211727, -0.081125, -0.648106, -0.054374, -0.342280, 0.139030, 0.157201, -0.228748, g
-0.029724, 0.671415, -0.525563, -0.035953, 10.904791, -0.176963, 0.144900, -0.148138, -0.363605, b
-0.192068, 0.117957, -0.057501, 0.141808, 0.162348, 0.081875, 0.283244, 0.024843, -0.423449, g
1.189098, -1.853536, 0.365287, -0.426832, -0.593140, -1.389465, -0.749440, 0.275568, 4.935911, b
-0.105901, 0.121956, 0.158666, 0.318942, 0.188886, 0.052590, -0.262081, -0.090244, 0.159495, g
0.653438, 0.563350, 0.345692, 1.018109, -1.443700, -0.524362, -1.279877, -0.562501, 1.913186, b
0.341907, 0.298865, 0.466294, -0.446959, 0.684528, 0.131572, -0.030452, -0.333796, -0.000607, g
0.959779, -0.365229, 0.777334, 0.416712, -0.099590, -2.065239, 0.371349, 0.075821, 0.392169, b
0.047444, -0.035654, -0.027383, 0.134323, 0.026145, 0.115705, -0.055210, -0.003772, -0.098321, g
0.081466, 4.231470, 1.588802, 0.295999, -5.983620, 1.309736, -0.440879, -0.724452, 0.435835, b
0.092177, -0.039154, -0.010688, 0.108404, -0.025188, 0.106577, -0.214052, -0.069678, 0.141920, g
-0.503702, -0.539632, 0.763976, 1.599723, 0.193872, 0.427708, 0.643086, 0.218693, 0.867496, b
0.311462, -0.003722, 0.099279, -0.107144, 0.064087, -0.044731, -0.408676, -0.119554, 0.330500, g
0.332505, 0.302192, 0.065714, -2.066557, -3.102303, -0.011236, -8.043677, -0.305785, -0.114021, b
0.418296, 0.118859, 0.253351, 0.285165, 1.039902, -0.518569, -0.180270, -0.054221, 0.206682, g
0.196033, 0.203274, -0.588296, 0.805436, 0.340360, -0.390202, -2.951830, -0.015700, 2.795684, b
-0.121571, 0.290052, 0.240834, 0.314234, 0.067610, 0.051936, -0.139280, -0.079735, 0.091556, g
2.749911, 0.736044, -1.567024, 1.401675, 0.427253, 1.045477, -0.590777, -0.568651, -0.689248, b
