@relation Ionosphere-pca-23



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute attr7 real 
@attribute attr8 real 
@attribute attr9 real 
@attribute attr10 real 
@attribute attr11 real 
@attribute attr12 real 
@attribute attr13 real 
@attribute attr14 real 
@attribute attr15 real 
@attribute attr16 real 
@attribute attr17 real 
@attribute attr18 real 
@attribute attr19 real 
@attribute attr20 real 
@attribute attr21 real 
@attribute attr22 real 
@attribute RESULT {g, b} 



@data
0.859333, 0.961407, -0.586082, -0.773324, -0.019204, -0.446108, 0.067761, 0.095541, -0.512938, 0.377582, 0.066410, -0.015724, -0.220154, -0.059780, 0.220999, -0.019430, -0.305011, -0.002045, 0.061716, -0.095147, 0.025001, -0.030925, -0.046031, g
-0.765524, 1.062714, -1.397339, -0.095579, 0.094258, -0.817457, 0.589610, -0.028551, -0.600808, 1.402713, -0.087547, 0.604710, -0.310716, 0.042197, 0.373264, 0.086321, -0.352553, -0.042977, 0.392008, 0.303881, -0.538967, -0.358905, 0.711815, b
1.116817, 0.392256, 0.007988, -0.690135, -0.019657, -0.124881, -0.067154, 0.103978, -0.245144, 0.235440, 0.070422, 0.037291, 0.005082, -0.126085, 0.076317, -0.078631, -0.109371, -0.009683, 0.186506, 0.070862, 0.114233, 0.094592, 0.000276, g
-0.981679, -0.590445, 0.478505, 1.508953, 0.698646, -0.690613, 1.136388, -0.752069, 0.458580, 1.178561, -0.080661, -0.723848, -1.162325, 0.626985, 0.477002, 0.092346, 0.946365, -1.167445, 0.698622, -0.466107, -0.235855, -0.748431, -0.063842, b
-0.132848, 0.788272, -0.714253, -1.281051, 0.153988, -0.411606, 0.005113, -0.141134, -0.640986, 0.575883, -0.107994, -0.010526, -0.040758, -0.258226, 0.116896, 0.211037, -0.178436, -0.109274, 0.042587, 0.138180, 0.008027, 0.025929, -0.017030, g
-1.424605, 0.053772, -0.933019, 0.415345, -0.001975, 0.185800, 0.030136, 0.101131, 0.186453, 0.167125, -0.368285, 0.036710, -0.228360, -0.015709, 0.098101, -0.196086, 0.119944, 0.144285, -0.092468, 0.090886, -0.122810, -0.081401, 0.085146, b
0.443529, 1.728260, -1.094601, -1.352809, -0.078347, -0.309393, 0.224020, 0.178103, -1.044750, 0.598942, -0.121516, -0.020951, -0.223633, -0.370676, 0.138702, 0.429778, -0.293259, -0.086459, -0.097656, -0.029202, -0.207296, -0.074395, 0.130545, g
-0.574840, -0.044734, -0.705329, 1.646154, 0.670796, 0.401040, 1.006875, -0.210182, 1.592027, 0.480249, -0.134338, -0.749745, -0.872927, -0.982880, 0.612599, -0.211754, -0.151718, 0.060681, 1.677539, -0.830570, 0.069153, -0.320822, -0.180899, b
1.567370, 1.549799, -0.677760, -1.010393, -0.030901, -0.279693, 0.029556, 0.166430, -0.674211, 0.375422, -0.101386, -0.048508, -0.038809, -0.374546, -0.024767, 0.268300, -0.230048, 0.025700, 0.110163, -0.188635, 0.039673, 0.090186, -0.088753, g
-1.494422, -0.071843, -0.786701, 0.775980, 0.425825, 0.287307, -0.248004, -0.122251, 0.124339, 0.078681, -0.750809, 0.627110, 0.228783, 0.041652, 0.129117, -0.182774, -0.001658, -0.086281, 0.085623, 0.214020, 0.237842, 0.081338, 0.185807, b
