@relation Ionosphere-pca-7



@attribute attr0 real 
@attribute attr1 real 
@attribute attr2 real 
@attribute attr3 real 
@attribute attr4 real 
@attribute attr5 real 
@attribute attr6 real 
@attribute RESULT {g, b} 



@data
0.859333, 0.961407, -0.586082, -0.773324, -0.019204, -0.446108, 0.067761, g
-0.765524, 1.062714, -1.397339, -0.095579, 0.094258, -0.817457, 0.589610, b
1.116817, 0.392256, 0.007988, -0.690135, -0.019657, -0.124881, -0.067154, g
-0.981679, -0.590445, 0.478505, 1.508953, 0.698646, -0.690613, 1.136388, b
-0.132848, 0.788272, -0.714253, -1.281051, 0.153988, -0.411606, 0.005113, g
-1.424605, 0.053772, -0.933019, 0.415345, -0.001975, 0.185800, 0.030136, b
0.443529, 1.728260, -1.094601, -1.352809, -0.078347, -0.309393, 0.224020, g
-0.574840, -0.044734, -0.705329, 1.646154, 0.670796, 0.401040, 1.006875, b
1.567370, 1.549799, -0.677760, -1.010393, -0.030901, -0.279693, 0.029556, g
-1.494422, -0.071843, -0.786701, 0.775980, 0.425825, 0.287307, -0.248004, b
1.373240, 1.941707, -0.821776, -1.308211, -0.206846, -0.326988, 0.042920, g
2.507328, 0.879014, -0.706865, -1.451407, -0.686028, -0.434351, 0.677300, b
1.843072, 1.360361, -0.318693, -0.886746, 0.067581, -0.225054, 0.026055, g
2.256328, 0.499257, 0.329134, 0.291348, 0.195453, -0.157689, 0.934989, b
2.254021, -0.837112, 0.650650, 0.338159, -0.187486, 0.095519, -0.125461, g
-0.315275, 0.419332, -1.189374, 0.739102, 1.302393, -0.516753, 0.927617, b
1.781942, -0.405420, 0.351273, -0.027028, -0.041798, -0.036010, -0.053613, g
-2.456058, -0.383971, -1.333874, -0.732376, -1.496338, 3.108216, -0.922628, b
0.463708, -0.689016, 0.250411, 0.227844, -0.026323, 0.526281, -0.020306, g
-0.484228, -1.569850, 0.275098, 1.114263, 1.574621, -0.960628, 1.058525, b
1.951932, 1.068375, -0.002251, -0.603826, -0.098466, -0.100276, 0.029459, g
-3.082949, -0.651784, -1.133425, 1.452990, -1.543327, 0.615442, -0.475672, b
1.264965, -0.115399, 0.109607, -0.314281, 0.026950, -0.025964, 0.005980, g
-1.586932, -0.384330, -0.748555, 0.851538, -1.785251, 1.015001, -0.148080, b
1.594157, 0.651439, 0.109435, -0.612598, 0.085343, -0.120829, -0.002969, g
2.668594, 3.031011, -1.077272, -0.956221, -0.773493, -0.348187, 0.011483, b
1.050265, 1.626741, -0.795241, -1.460738, -0.251548, -0.526283, 0.742765, g
-1.655770, 0.923768, -1.253536, 1.075731, 0.170678, 0.212521, 0.839311, b
1.924258, -2.853689, 0.828257, 0.865345, 0.088333, 0.091302, -0.109062, g
-0.204463, 1.851947, -0.813244, 1.215793, 1.950983, 0.421594, 1.576411, b
2.292828, 1.566302, -0.042473, -0.895136, -0.032824, -0.247117, 0.075163, g
2.555052, 0.062042, -0.278164, 0.900762, 2.231013, -0.107454, 0.844352, b
1.316882, 1.240570, -0.498368, -0.821673, 0.034573, -0.191844, 0.086623, g
0.963605, 0.262878, -0.759177, -1.015068, -0.609188, -0.723600, 0.032828, b
2.174055, 0.401476, 0.019223, 0.143315, 0.877160, -0.278983, -0.236498, g
2.249443, -0.312845, -0.107783, 0.691552, 2.081661, 0.281465, 0.283637, b
2.045921, 0.456986, 0.221561, -0.357877, -0.064591, -0.033221, -0.064679, g
-1.405594, -1.503343, -0.213509, 1.010155, -1.074466, -0.392414, -0.013298, b
1.631718, -0.447782, 0.232987, -0.067656, -0.011720, 0.037572, -0.093167, g
1.401879, -0.841523, 0.175416, 0.063920, 0.182730, 0.376645, -0.613075, b
